names,prices,source,is_male
MIZUNO Wave Ultima 9 Femme Bleu / Blanc / Rose,135,from_running,0
MIZUNO WAVE DAICHI 4 Homme | Blue Sapphire / Enamel Blue / Tomato,125,from_running,1
MIZUNO WAVE SHADOW 2 Homme | Blue Jewel/Silver/Safety Yellow,130,from_running,1
MIZUNO WAVE ULTIMA 11 Homme | Dress Blues / Vapor Blue / Lime Punch,135,from_running,1
MIZUNO WAVE MUJIN 5 Homme Ombre Blue/Silver/Poison Green,145,from_running,1
MIZUNO WAVE RIDER 22 Homme | cherryTomato/white/TurkishTlle,145,from_running,1
MIZUNO Wave Horizon Femme Bleu / Jaune,180,from_mizuno,0
MIZUNO WAVE MUJIN Femme 5 Bird of Paradise/Silver/Estate Blue,145,from_mizuno,0
MIZUNO WAVE RIDER 23 Homme | Campanula / Vapor Blue / Dress Blues,145,from_mizuno,1
MIZUNO Wave Ultima 9 Homme Noir / Blanc / Bleu / Jaune,135,from_running,1
MIZUNO Wave Horizon Homme Vert / Blanc,180,from_mizuno,1
MIZUNO WAVE MUJIN 5 Femme Ombre Blue/Silver/ Hot Coral,145,from_mizuno,0
MIZUNO Wave Mujin 4 Homme Noir / vert / Bleu,145,from_mizuno,1
MIZUNO WAVE RIDER 22 Femme Fiery Coral/Silver/Peacock Blue,145,from_running,0
MIZUNO WAVE HAYATE 4 Femme | Bird of Paradise/Silver/Estate Blue,130,from_running,0
MIZUNO WAVE DAICHI 3 Femme Folkstone Gray/Black/Sunny Lime,125,from_mizuno,0
MIZUNO Wave Rider 21 Homme Noir / Blanc,145,from_mizuno,1
MIZUNO WAVE ULTIMA 10 Homme | Ombre Blue/Safety Yellow/Diva Blue,135,from_running,1
MIZUNO Wave Mujin 4 - Femme - Violet / Rose,145,from_mizuno,0
MIZUNO WAVE DAICHI 3 Homme Folkstone Gray/Black/Flame Orange,125,from_mizuno,1
MIZUNO Wave Inspire 14 Femme Noir / Blanc / Bleu,145,from_mizuno,0
MIZUNO Wave Ultima 9 Femme Bleu / Bleu / Rose,135,from_running,0
Mizuno Wave Sonic - Femme - Jaune / Noir,120,from_running,0
MIZUNO WAVE ULTIMA 10 Femme | Hawaiian Ocean/White/Bird of Paradise,135,from_running,0
MIZUO WAVE MUJIN 6 Homme | Blue Sapphire / Enamel Blue / Tomato,145,from_mizuno,1
